Number,Name,Classification,Height,Weight,Typings,Abilities,Base Stat Total,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
#139,Omastar,Spiral Pokémon,"['3\'03""', '1.0m']","['77.2lbs', '35.0kg']","['Rock', 'Water']","['Swift Swim', 'Shell Armor', 'Weak Armor']",495,70,60,125,115,70,55
#140,Kabuto,Shellfish Pokémon,"['1\'08""', '0.5m']","['25.4lbs', '11.5kg']","['Rock', 'Water']","['Swift Swim', 'Battle Armor', 'Weak Armor']",355,30,80,90,55,45,55
#141,Kabutops,Shellfish Pokémon,"['4\'03""', '1.3m']","['89.3lbs', '40.5kg']","['Rock', 'Water']","['Swift Swim', 'Battle Armor', 'Weak Armor']",495,60,115,105,65,70,80
#142,Aerodactyl,Fossil Pokémon,"['5\'11""', '1.8m']","['130.1lbs', '59.0kg']","['Rock', 'Flying']","['Rock Head', 'Pressure', 'Unnerve']",515,80,105,65,60,75,130
#143,Snorlax,Sleeping Pokémon,"['6\'11""', '2.1m']","['1014.1lbs', '460.0kg']",['Normal'],"['Immunity', 'Thick Fat', 'Gluttony']",540,160,110,65,65,110,30
#144,Articuno,Freeze Pokémon (Kantonian)Cruel Pokémon (Galarian),"['5\'07"" / 5\'07""', '1.7m / 1.7m']","['122.1lbs / 112.2lbs', '55.4kg / 50.9kg']","['Ice', 'Flying']","['Pressure', 'Snow Cloak']",580,90,85,100,95,125,85
#145,Zapdos,Electric Pokémon (Kantonian)Strong Legs Pokémon (Galarian),"['5\'03"" / 5\'03""', '1.6m / 1.6m']","['116.0lbs / 128.3lbs', '52.6kg / 58.2kg']","['Electric', 'Flying']","['Pressure', 'Static']",580,90,90,85,125,90,100
#146,Moltres,Flame Pokémon (Kantonian)Malevolent Pokémon (Galarian),"['6\'07"" / 6\'07""', '2.0m / 2.0m']","['132.3lbs / 145.5lbs', '60.0kg / 66.0kg']","['Fire', 'Flying']","['Pressure', 'Flame Body']",580,90,100,90,125,85,90
#147,Dratini,Dragon Pokémon,"['5\'11""', '1.8m']","['7.3lbs', '3.3kg']",['Dragon'],"['Shed Skin', 'Marvel Scale']",300,41,64,45,50,50,50
#148,Dragonair,Dragon Pokémon,"['13\'01""', '4.0m']","['36.4lbs', '16.5kg']",['Dragon'],"['Shed Skin', 'Marvel Scale']",420,61,84,65,70,70,70
#149,Dragonite,Dragon Pokémon,"['7\'03""', '2.2m']","['463.0lbs', '210.0kg']","['Dragon', 'Flying']","['Inner Focus', 'Multiscale']",600,91,134,95,100,100,80
#150,Mewtwo,Genetic Pokémon,"['6\'07""', '2.0m']","['269.0lbs', '122.0kg']",['Psychic'],"['Pressure', 'Unnerve']",680,106,110,90,154,90,130
#151,Mew,New Species Pokémon,"['1\'04""', '0.4m']","['8.8lbs', '4.0kg']",['Psychic'],['Synchronize'],600,100,100,100,100,100,100
#152,Chikorita,Leaf Pokémon,"['2\'11""', '0.9m']","['14.1lbs', '6.4kg']",['Grass'],"['Overgrow', 'Leaf Guard']",318,45,49,65,49,65,45
#153,Bayleef,Leaf Pokémon,"['3\'11""', '1.2m']","['34.8lbs', '15.8kg']",['Grass'],"['Overgrow', 'Leaf Guard']",405,60,62,80,63,80,60
#154,Meganium,Herb Pokémon,"['5\'11""', '1.8m']","['221.6lbs', '100.5kg']",['Grass'],"['Overgrow', 'Leaf Guard']",525,80,82,100,83,100,80
#155,Cyndaquil,Fire Mouse Pokémon,"['1\'08""', '0.5m']","['17.4lbs', '7.9kg']",['Fire'],"['Blaze', 'Flash Fire']",309,39,52,43,60,50,65
#156,Quilava,Volcano Pokémon,"['2\'11""', '0.9m']","['41.9lbs', '19kg']",['Fire'],"['Blaze', 'Flash Fire']",405,58,64,58,80,65,80
#157,Typhlosion,Volcano Pokémon,"['5\'07""', '1.7m']","['175.3lbs', '79.5kg']",['Fire'],"['Blaze', 'Flash Fire']",534,78,84,78,109,85,100
#158,Totodile,Big Jaw Pokémon,"['2\'00""', '0.6m']","['20.9lbs', '9.5kg']",['Water'],"['Torrent', 'Sheer Force']",314,50,65,64,44,48,43
#159,Croconaw,Big Jaw Pokémon,"['3\'07""', '1.1m']","['55.1lbs', '25kg']",['Water'],"['Torrent', 'Sheer Force']",405,65,80,80,59,63,58
#160,Feraligatr,Big Jaw Pokémon,"['7\'07""', '2.3m']","['195.8lbs', '88.8kg']",['Water'],"['Torrent', 'Sheer Force']",530,85,105,100,79,83,78
#161,Sentret,Scout Pokémon,"['2\'07""', '0.8m']","['13.2lbs', '6kg']",['Normal'],"['Run Away', 'Keen Eye', 'Frisk']",215,35,46,34,35,45,20
#162,Furret,Long Body Pokémon,"['5\'11""', '1.8m']","['71.6lbs', '32.5kg']",['Normal'],"['Run Away', 'Keen Eye', 'Frisk']",415,85,76,64,45,55,90
#163,Hoothoot,Owl Pokémon,"['2\'04""', '0.7m']","['46.7lbs', '21.2kg']","['Normal', 'Flying']","['Insomnia', 'Keen Eye', 'Tinted Lens']",262,60,30,30,36,56,50
#164,Noctowl,Owl Pokémon,"['5\'03""', '1.6m']","['89.9lbs', '40.8kg']","['Normal', 'Flying']","['Insomnia', 'Keen Eye', 'Tinted Lens']",452,100,50,50,86,96,70
#165,Ledyba,Five Star Pokémon,"['3\'03""', '1m']","['23.8lbs', '10.8kg']","['Bug', 'Flying']","['Swarm', 'Early Bird', 'Rattled']",265,40,20,30,40,80,55
#166,Ledian,Five Star Pokémon,"['4\'07""', '1.4m']","['78.5lbs', '35.6kg']","['Bug', 'Flying']","['Swarm', 'Early Bird', 'Iron Fist']",390,55,35,50,55,110,85
#167,Spinarak,String Spit Pokémon,"['1\'08""', '0.5m']","['18.7lbs', '8.5kg']","['Bug', 'Poison']","['Swarm', 'Insomnia', 'Sniper']",250,40,60,40,40,40,30
#168,Ariados,Long Leg Pokémon,"['3\'07""', '1.1m']","['73.9lbs', '33.5kg']","['Bug', 'Poison']","['Swarm', 'Insomnia', 'Sniper']",400,70,90,70,60,70,40
#169,Crobat,Bat Pokémon,"['5\'11""', '1.8m']","['165.3lbs', '75.0kg']","['Poison', 'Flying']","['Inner Focus', 'Infiltrator']",535,85,90,80,70,80,130
#170,Chinchou,Angler Pokémon,"['1\'08""', '0.5m']","['26.5lbs', '12.0kg']","['Water', 'Electric']","['Volt Absorb', 'Illuminate', 'Water Absorb']",330,75,38,38,56,56,67
#171,Lanturn,Light Pokémon,"['3\'11""', '1.2m']","['49.6lbs', '22.5kg']","['Water', 'Electric']","['Volt Absorb', 'Illuminate', 'Water Absorb']",460,125,58,58,76,76,67
#172,Pichu,Tiny Mouse Pokémon,"['1\'00""', '0.3m']","['4.4lbs', '2.0kg']",['Electric'],"['Static', 'Lightning Rod']",205,20,40,15,35,35,60
#173,Cleffa,Star Shape Pokémon,"['1\'00""', '0.3m']","['6.6lbs', '3.0kg']",['Fairy'],"['Cute Charm', 'Magic Guard', 'Friend Guard']",218,50,25,28,45,55,15
#174,Igglybuff,Balloon Pokémon,"['1\'00""', '0.3m']","['2.2lbs', '1.0kg']","['Normal', 'Fairy']","['Cute Charm', 'Competitive', 'Friend Guard']",210,90,30,15,40,20,15
#175,Togepi,Spike Ball Pokémon,"['1\'00""', '0.3m']","['3.3lbs', '1.5kg']",['Fairy'],"['Hustle', 'Serene Grace', 'Super Luck']",245,35,20,65,40,65,20
#176,Togetic,Happiness Pokémon,"['2\'00""', '0.6m']","['7.1lbs', '3.2kg']","['Fairy', 'Flying']","['Hustle', 'Serene Grace', 'Super Luck']",405,55,40,85,80,105,40
#177,Natu,Little Bird Pokémon,"['0\'08""', '0.2m']","['4.4lbs', '2.0kg']","['Psychic', 'Flying']","['Synchronize', 'Early Bird', 'Magic Bounce']",320,40,50,45,70,45,70
#178,Xatu,Mystic Pokémon,"['4\'11""', '1.5m']","['33.1lbs', '15.0kg']","['Psychic', 'Flying']","['Synchronize', 'Early Bird', 'Magic Bounce']",470,65,75,70,95,70,95
#179,Mareep,Wool Pokémon,"['2\'00""', '0.6m']","['17.2lbs', '7.8kg']",['Electric'],"['Static', 'Plus']",280,55,40,40,65,45,35
#180,Flaaffy,Wool Pokémon,"['2\'07""', '0.8m']","['29.3lbs', '13.3kg']",['Electric'],"['Static', 'Plus']",365,70,55,55,80,60,45
#181,Ampharos,Light Pokémon,"['4\'07""', '1.4m']","['135.6lbs', '61.5kg']",['Electric'],"['Static', 'Plus']",510,90,75,85,115,90,55
#182,Bellossom,Flower Pokémon,"['1\'04""', '0.4m']","['12.8lbs', '5.8kg']",['Grass'],"['Chlorophyll', 'Healer']",490,75,80,95,90,100,50
#183,Marill,Aquamouse Pokémon,"['1\'04""', '0.4m']","['18.7lbs', '8.5kg']","['Water', 'Fairy']","['Thick Fat', 'Huge Power', 'Sap Sipper']",250,70,20,50,20,50,40
#184,Azumarill,Aquarabbit Pokémon,"['2\'07""', '0.8m']","['62.8lbs', '28.5kg']","['Water', 'Fairy']","['Thick Fat', 'Huge Power', 'Sap Sipper']",420,100,50,80,60,80,50
#185,Sudowoodo,Imitation Pokémon,"['3\'11""', '1.2m']","['83.8lbs', '38.0kg']",['Rock'],"['Sturdy', 'Rock Head', 'Rattled']",410,70,100,115,30,65,30
#186,Politoed,Frog Pokémon,"['3\'07""', '1.1m']","['74.7lbs', '33.9kg']",['Water'],"['Water Absorb', 'Damp', 'Drizzle']",500,90,75,75,90,100,70
#187,Hoppip,Cottonweed Pokémon,"['1\'04""', '0.4m']","['1.1lbs', '0.5kg']","['Grass', 'Flying']","['Chlorophyll', 'Leaf Guard', 'Infiltrator']",250,35,35,40,35,55,50
#188,Skiploom,Cottonweed Pokémon,"['2\'00""', '0.6m']","['2.2lbs', '1kg']","['Grass', 'Flying']","['Chlorophyll', 'Leaf Guard', 'Infiltrator']",340,55,45,50,45,65,80
#189,Jumpluff,Cottonweed Pokémon,"['2\'07""', '0.8m']","['6.6lbs', '3kg']","['Grass', 'Flying']","['Chlorophyll', 'Leaf Guard', 'Infiltrator']",460,75,55,70,55,95,110
#190,Aipom,Long Tail Pokémon,"['2\'07""', '0.8m']","['25.4lbs', '11.5kg']",['Normal'],"['Run Away', 'Pickup', 'Skill Link']",360,55,70,55,40,55,85
#191,Sunkern,Seed Pokémon,"['1\'00""', '0.3m']","['4.0lbs', '1.8kg']",['Grass'],"['Chlorophyll', 'Solar Power', 'Early Bird']",180,30,30,30,30,30,30
#192,Sunflora,Sun Pokémon,"['2\'07""', '0.8m']","['18.7lbs', '8.5kg']",['Grass'],"['Chlorophyll', 'Solar Power', 'Early Bird']",425,75,75,55,105,85,30
#193,Yanma,Clear Wing Pokémon,"['3\'11""', '1.2m']","['83.8lbs', '38kg']","['Bug', 'Flying']","['Speed Boost', 'Compoundeyes', 'Frisk']",390,65,65,45,75,45,95
#194,Wooper,Water Fish Pokémon,"['1\'04""', '0.4m']","['18.7lbs', '8.5kg']","['Water', 'Ground']","['Damp', 'Water Absorb', 'Unaware']",210,55,45,45,25,25,15
#195,Quagsire,Water Fish Pokémon,"['4\'07""', '1.4m']","['165.3lbs', '75.0kg']","['Water', 'Ground']","['Damp', 'Water Absorb', 'Unaware']",430,95,85,85,65,65,35
#196,Espeon,Sun Pokémon,"['2\'11""', '0.9m']","['58.4lbs', '26.5kg']",['Psychic'],"['Synchronize', 'Magic Bounce']",525,65,65,60,130,95,110
#197,Umbreon,Moonlight Pokémon,"['3\'03""', '1.0m']","['59.5lbs', '27.0kg']",['Dark'],"['Synchronize', 'Inner Focus']",525,95,65,110,60,130,65
#198,Murkrow,Darkness Pokémon,"['1\'08""', '0.5m']","['4.6lbs', '2.1kg']","['Dark', 'Flying']","['Insomnia', 'Super Luck', 'Prankster']",405,60,85,42,85,42,91
#199,Slowking,Royal Pokémon (Johtonian)Hexpert Pokémon (Galarian),"['6\'07"" / 5\'11""', '2.0m / 1.8m']","['175.3lbs / 175.3lbs', '79.5kg / 79.5kg']","['Water', 'Psychic']","['Oblivious', 'Own Tempo', 'Regenerator']",490,95,75,80,100,110,30
#200,Misdreavus,Screech Pokémon,"['2\'04""', '0.7m']","['2.2lbs', '1kg']",['Ghost'],['Levitate'],435,60,60,60,85,85,85
#201,Unown,Symbol Pokémon,"['1\'08""', '0.5m']","['11.0lbs', '5kg']",['Psychic'],['Levitate'],336,48,72,48,72,48,48
#202,Wobbuffet,Patient Pokémon,"['4\'03""', '1.3m']","['62.8lbs', '28.5kg']",['Psychic'],"['Shadow Tag', 'Telepathy']",405,190,33,58,33,58,33
#203,Girafarig,Long Neck Pokémon,"['4\'11""', '1.5m']","['91.5lbs', '41.5kg']","['Normal', 'Psychic']","['Inner Focus', 'Early Bird', 'Sap Sipper']",455,70,80,65,90,65,85
#204,Pineco,Bagworm Pokémon,"['2\'00""', '0.6m']","['15.9lbs', '7.2kg']",['Bug'],"['Sturdy', 'Overcoat']",290,50,65,90,35,35,15
#205,Forretress,Bagworm Pokémon,"['3\'11""', '1.2m']","['277.3lbs', '125.8kg']","['Bug', 'Steel']","['Sturdy', 'Overcoat']",465,75,90,140,60,60,40
#206,Dunsparce,Land Snake Pokémon,"['4\'11""', '1.5m']","['30.9lbs', '14.0kg']",['Normal'],"['Serene Grace', 'Run Away', 'Rattled']",415,100,70,70,65,65,45
#207,Gligar,Flyscorpion Pokémon,"['3\'07""', '1.1m']","['142.9lbs', '64.8kg']","['Ground', 'Flying']","['Hyper Cutter', 'Sand Veil', 'Immunity']",430,65,75,105,35,65,85
#208,Steelix,Iron Snake Pokémon,"['30\'02""', '9.2m']","['881.8lbs', '400.0kg']","['Steel', 'Ground']","['Rock Head', 'Sturdy', 'Sheer Force']",510,75,85,200,55,65,30
#209,Snubbull,Fairy Pokémon,"['2\'00""', '0.6m']","['17.2lbs', '7.8kg']",['Fairy'],"['Intimidate', 'Run Away', 'Rattled']",300,60,80,50,40,40,30
#210,Granbull,Fairy Pokémon,"['4\'07""', '1.4m']","['107.4lbs', '48.7kg']",['Fairy'],"['Intimidate', 'Quick Feet', 'Rattled']",450,90,120,75,60,60,45
#211,Qwilfish,Balloon Pokémon,"['1\'08""', '0.5m']","['8.6lbs', '3.9kg']","['Water', 'Poison']","['Poison Point', 'Swift Swim', 'Intimidate']",440,65,95,85,55,55,85
#212,Scizor,Pincer Pokémon,"['5\'11""', '1.8m']","['260.1lbs', '118.0kg']","['Bug', 'Steel']","['Swarm', 'Technician', 'Light Metal']",500,70,130,100,55,80,65
#213,Shuckle,Mold Pokémon,"['2\'00""', '0.6m']","['45.2lbs', '20.5kg']","['Bug', 'Rock']","['Sturdy', 'Gluttony', 'Contrary']",505,20,10,230,10,230,5
#214,Heracross,Singlehorn Pokémon,"['4\'11""', '1.5m']","['119.0lbs', '54.0kg']","['Bug', 'Fighting']","['Swarm', 'Guts', 'Moxie']",500,80,125,75,40,95,85
#215,Sneasel,Sharp Claw Pokémon,"['2\'11""', '0.9m']","['61.7lbs', '28.0kg']","['Dark', 'Ice']","['Inner Focus', 'Keen Eye', 'Pickpocket']",430,55,95,55,35,75,115
#216,Teddiursa,Little Bear Pokémon,"['2\'00""', '0.6m']","['19.4lbs', '8.8kg']",['Normal'],"['Pickup', 'Quick Feet', 'Honey Gather']",330,60,80,50,50,50,40
#217,Ursaring,Hibernator Pokémon,"['5\'11""', '1.8m']","['277.3lbs', '125.8kg']",['Normal'],"['Guts', 'Quick Feet', 'Unnerve']",500,90,130,75,75,75,55
#218,Slugma,Lava Pokémon,"['2\'04""', '0.7m']","['77.2lbs', '35kg']",['Fire'],"['Magma Armor', 'Flame Body', 'Weak Armor']",250,40,40,40,70,40,20
#219,Magcargo,Lava Pokémon,"['2\'07""', '0.8m']","['121.3lbs', '55kg']","['Fire', 'Rock']","['Magma Armor', 'Flame Body', 'Weak Armor']",430,60,50,120,90,80,30
#220,Swinub,Pig Pokémon,"['1\'04""', '0.4m']","['14.3lbs', '6.5kg']","['Ice', 'Ground']","['Oblivious', 'Snow Cloak', 'Thick Fat']",250,50,50,40,30,30,50
#221,Piloswine,Swine Pokémon,"['3\'07""', '1.1m']","['123.0lbs', '55.8kg']","['Ice', 'Ground']","['Oblivious', 'Snow Cloak', 'Thick Fat']",450,100,100,80,60,60,50
#222,Corsola,Coral Pokémon,"['2\'00"" / 2\'00""', '0.6m / 0.6m']","['11.0lbs / 1.1lbs', '5.0kg / 0.5kg']","['Water', 'Rock']","['Hustle', 'Natural Cure', 'Regenerator']",410,65,55,95,65,95,35
#223,Remoraid,Jet Pokémon,"['2\'00""', '0.6m']","['26.5lbs', '12.0kg']",['Water'],"['Hustle', 'Sniper', 'Moody']",300,35,65,35,65,35,65
#224,Octillery,Jet Pokémon,"['2\'11""', '0.9m']","['62.8lbs', '28.5kg']",['Water'],"['Suction Cups', 'Sniper', 'Moody']",480,75,105,75,105,75,45
#225,Delibird,Delivery Pokémon,"['2\'11""', '0.9m']","['35.3lbs', '16.0kg']","['Ice', 'Flying']","['Vital Spirit', 'Hustle', 'Insomnia']",330,45,55,45,65,45,75
#226,Mantine,Kite Pokémon,"['6\'11""', '2.1m']","['485.0lbs', '220.0kg']","['Water', 'Flying']","['Swift Swim', 'Water Absorb', 'Water Veil']",485,85,40,70,80,140,70
#227,Skarmory,Armor Bird Pokémon,"['5\'07""', '1.7m']","['111.3lbs', '50.5kg']","['Steel', 'Flying']","['Keen Eye', 'Sturdy', 'Weak Armor']",465,65,80,140,40,70,70
#228,Houndour,Dark Pokémon,"['2\'00""', '0.6m']","['23.8lbs', '10.8kg']","['Dark', 'Fire']","['Early Bird', 'Flash Fire', 'Unnerve']",330,45,60,30,80,50,65
#229,Houndoom,Dark Pokémon,"['4\'07""', '1.4m']","['77.2lbs', '35kg']","['Dark', 'Fire']","['Early Bird', 'Flash Fire', 'Unnerve']",500,75,90,50,110,80,95
#230,Kingdra,Dragon Pokémon,"['5\'11""', '1.8m']","['335.1lbs', '152.0kg']","['Water', 'Dragon']","['Swift Swim', 'Sniper', 'Damp']",540,75,95,95,95,95,85
#231,Phanpy,Long Nose Pokémon,"['1\'08""', '0.5m']","['73.9lbs', '33.5kg']",['Ground'],"['Pickup', 'Sand Veil']",330,90,60,60,40,40,40
#232,Donphan,Armor Pokémon,"['3\'07""', '1.1m']","['264.6lbs', '120kg']",['Ground'],"['Sturdy', 'Sand Veil']",500,90,120,120,60,60,50
#233,Porygon2,Virtual Pokémon,"['2\'00""', '0.6m']","['71.6lbs', '32.5kg']",['Normal'],"['Trace', 'Download', 'Analytic']",515,85,80,90,105,95,60
#234,Stantler,Big Horn Pokémon,"['4\'07""', '1.4m']","['157.0lbs', '71.2kg']",['Normal'],"['Intimidate', 'Frisk', 'Sap Sipper']",465,73,95,62,85,65,85
#235,Smeargle,Painter Pokémon,"['3\'11""', '1.2m']","['127.9lbs', '58kg']",['Normal'],"['Own Tempo', 'Technician', 'Moody']",250,55,20,35,20,45,75
#236,Tyrogue,Scuffle Pokémon,"['2\'04""', '0.7m']","['46.3lbs', '21.0kg']",['Fighting'],"['Guts', 'Steadfast', 'Vital Spirit']",210,35,35,35,35,35,35
#237,Hitmontop,Handstand Pokémon,"['4\'07""', '1.4m']","['105.8lbs', '48.0kg']",['Fighting'],"['Intimidate', 'Technician', 'Steadfast']",455,50,95,95,35,110,70
#238,Smoochum,Kiss Pokémon,"['1\'04""', '0.4m']","['13.2lbs', '6.0kg']","['Ice', 'Psychic']","['Oblivious', 'Forewarn', 'Hydration']",305,45,30,15,85,65,65
#239,Elekid,Electric Pokémon,"['2\'00""', '0.6m']","['51.8lbs', '23.5kg']",['Electric'],"['Static', 'Vital Spirit']",360,45,63,37,65,55,95
#240,Magby,Live Coal Pokémon,"['2\'04""', '0.7m']","['47.2lbs', '21.4kg']",['Fire'],"['Flame Body', 'Vital Spirit']",365,45,75,37,70,55,83
#241,Miltank,Milk Cow Pokémon,"['3\'11""', '1.2m']","['166.4lbs', '75.5kg']",['Normal'],"['Thick Fat', 'Scrappy', 'Sap Sipper']",490,95,80,105,40,70,100
#242,Blissey,Happiness Pokémon,"['4\'11""', '1.5m']","['103.2lbs', '46.8kg']",['Normal'],"['Natural Cure', 'Serene Grace', 'Healer']",540,255,10,10,75,135,55
#243,Raikou,Thunder Pokémon,"['6\'03""', '1.9m']","['392.4lbs', '178.0kg']",['Electric'],"['Pressure', 'Inner Focus']",580,90,85,75,115,100,115
#244,Entei,Volcano Pokémon,"['6\'11""', '2.1m']","['436.5lbs', '198.0kg']",['Fire'],"['Pressure', 'Inner Focus']",580,115,115,85,90,75,100
#245,Suicune,Aurora Pokémon,"['6\'07""', '2.0m']","['412.3lbs', '187.0kg']",['Water'],"['Pressure', 'Inner Focus']",580,100,75,115,90,115,85
#246,Larvitar,Rock Skin Pokémon,"['2\'00""', '0.6m']","['158.7lbs', '72.0kg']","['Rock', 'Ground']","['Guts', 'Sand Veil']",300,50,64,50,45,50,41
#247,Pupitar,Hard Shell Pokémon,"['3\'11""', '1.2m']","['335.1lbs', '152.0kg']","['Rock', 'Ground']",['Shed Skin'],410,70,84,70,65,70,51
#248,Tyranitar,Armor Pokémon,"['6\'07""', '2.0m']","['445.3lbs', '202.0kg']","['Rock', 'Dark']","['Sand Stream', 'Unnerve']",600,100,134,110,95,100,61
#249,Lugia,Diving Pokémon,"['17\'01""', '5.2m']","['476.2lbs', '216.0kg']","['Psychic', 'Flying']","['Pressure', 'Multiscale']",680,106,90,130,90,154,110
#250,Ho-Oh,Rainbow Pokémon,"['12\'06""', '3.8m']","['438.7lbs', '199.0kg']","['Fire', 'Flying']","['Pressure', 'Regenerator']",680,106,130,90,110,154,90
#251,Celebi,Time Travel Pokémon,"['2\'00""', '0.6m']","['11.0lbs', '5.0kg']","['Psychic', 'Grass']",['Natural Cure'],600,100,100,100,100,100,100
#252,Treecko,Wood Gecko Pokémon,"['1\'08""', '0.5m']","['11.0lbs', '5.0kg']",['Grass'],"['Overgrow', 'Unburden']",310,40,45,35,65,55,70
#253,Grovyle,Wood Gecko Pokémon,"['2\'11""', '0.9m']","['47.6lbs', '21.6kg']",['Grass'],"['Overgrow', 'Unburden']",405,50,65,45,85,65,95
#254,Sceptile,Forest Pokémon,"['5\'07""', '1.7m']","['115.1lbs', '52.2kg']",['Grass'],"['Overgrow', 'Unburden']",530,70,85,65,105,85,120
#255,Torchic,Chick Pokémon,"['1\'04""', '0.4m']","['5.5lbs', '2.5kg']",['Fire'],"['Blaze', 'Speed Boost']",310,45,60,40,70,50,45
#256,Combusken,Young Fowl Pokémon,"['2\'11""', '0.9m']","['43.0lbs', '19.5kg']","['Fire', 'Fighting']","['Blaze', 'Speed Boost']",405,60,85,60,85,60,55
#257,Blaziken,Blaze Pokémon,"['6\'03""', '1.9m']","['114.6lbs', '52.0kg']","['Fire', 'Fighting']","['Blaze', 'Speed Boost']",530,80,120,70,110,70,80
#258,Mudkip,Mud Fish Pokémon,"['1\'04""', '0.4m']","['16.8lbs', '7.6kg']",['Water'],"['Torrent', 'Damp']",310,50,70,50,50,50,40
#259,Marshtomp,Mud Fish Pokémon,"['2\'04""', '0.7m']","['61.7lbs', '28.0kg']","['Water', 'Ground']","['Torrent', 'Damp']",405,70,85,70,60,70,50
#260,Swampert,Mud Fish Pokémon,"['4\'11""', '1.5m']","['180.6lbs', '81.9kg']","['Water', 'Ground']","['Torrent', 'Damp']",535,100,110,90,85,90,60
#261,Poochyena,Bite Pokémon,"['1\'08""', '0.5m']","['30.0lbs', '13.6kg']",['Dark'],"['Run Away', 'Quick Feet', 'Rattled']",220,35,55,35,30,30,35
#262,Mightyena,Bite Pokémon,"['3\'03""', '1m']","['81.6lbs', '37kg']",['Dark'],"['Intimidate', 'Quick Feet', 'Moxie']",420,70,90,70,60,60,70
#263,Zigzagoon,Tiny Racoon Pokémon,"['1\'04"" / 1\'04""', '0.4m / 0.4m']","['38.6lbs / 38.6lbs', '17.5kg / 17.5kg']",['Normal'],"['Pickup', 'Gluttony', 'Quick Feet']",240,38,30,41,30,41,60
#264,Linoone,Rushing Pokémon,"['1\'08"" / 1\'08""', '0.5m / 0.5m']","['71.6lbs / 71.6lbs', '32.5kg / 32.5kg']",['Normal'],"['Pickup', 'Gluttony', 'Quick Feet']",420,78,70,61,50,61,100
#265,Wurmple,Worm Pokémon,"['1\'00""', '0.3m']","['7.9lbs', '3.6kg']",['Bug'],"['Shield Dust', 'Run Away']",195,45,45,35,20,30,20
#266,Silcoon,Cocoon Pokémon,"['2\'00""', '0.6m']","['22.0lbs', '10kg']",['Bug'],['Shed Skin'],205,50,35,55,25,25,15
#267,Beautifly,Butterfly Pokémon,"['3\'03""', '1m']","['62.6lbs', '28.4kg']","['Bug', 'Flying']","['Swarm', 'Rivalry']",395,60,70,50,100,50,65
#268,Cascoon,Cocoon Pokémon,"['2\'04""', '0.7m']","['25.4lbs', '11.5kg']",['Bug'],['Shed Skin'],205,50,35,55,25,25,15
#269,Dustox,Poison Moth Pokémon,"['3\'11""', '1.2m']","['69.7lbs', '31.6kg']","['Bug', 'Poison']","['Shield Dust', 'Compoundeyes']",385,60,50,70,50,90,65
#270,Lotad,Water Weed Pokémon,"['1\'08""', '0.5m']","['5.7lbs', '2.6kg']","['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",220,40,30,30,40,50,30
#271,Lombre,Jolly Pokémon,"['3\'11""', '1.2m']","['71.6lbs', '32.5kg']","['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",340,60,50,50,60,70,50
#272,Ludicolo,Carefree Pokémon,"['4\'11""', '1.5m']","['121.3lbs', '55.0kg']","['Water', 'Grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",480,80,70,70,90,100,70
#273,Seedot,Acorn Pokémon,"['1\'08""', '0.5m']","['8.8lbs', '4.0kg']",['Grass'],"['Chlorophyll', 'Early Bird', 'Pickpocket']",220,40,40,50,30,30,30
#274,Nuzleaf,Wily Pokémon,"['3\'03""', '1.0m']","['61.7lbs', '28.0kg']","['Grass', 'Dark']","['Chlorophyll', 'Early Bird', 'Pickpocket']",340,70,70,40,60,40,60
#275,Shiftry,Wickid Pokémon,"['4\'03""', '1.3m']","['131.4lbs', '59.6kg']","['Grass', 'Dark']","['Chlorophyll', 'Early Bird', 'Pickpocket']",480,90,100,60,90,60,80
#276,Taillow,TinySwallow Pokémon,"['1\'00""', '0.3m']","['5.1lbs', '2.3kg']","['Normal', 'Flying']","['Guts', 'Scrappy']",270,40,55,30,30,30,85
#277,Swellow,Swallow Pokémon,"['2\'04""', '0.7m']","['43.7lbs', '19.8kg']","['Normal', 'Flying']","['Guts', 'Scrappy']",455,60,85,60,75,50,125
#278,Wingull,Seagull Pokémon,"['2\'00""', '0.6m']","['20.9lbs', '9.5kg']","['Water', 'Flying']","['Keen Eye', 'Hydration', 'Rain Dish']",270,40,30,30,55,30,85
#279,Pelipper,Water Bird Pokémon,"['3\'11""', '1.2m']","['61.7lbs', '28.0kg']","['Water', 'Flying']","['Keen Eye', 'Drizzle', 'Rain Dish']",440,60,50,100,95,70,65
#280,Ralts,Feeling Pokémon,"['1\'04""', '0.4m']","['14.6lbs', '6.6kg']","['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']",198,28,25,25,45,35,40
#281,Kirlia,Emotion Pokémon,"['2\'07""', '0.8m']","['44.5lbs', '20.2kg']","['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']",278,38,35,35,65,55,50
#282,Gardevoir,Embrace Pokémon,"['5\'03""', '1.6m']","['106.7lbs', '48.4kg']","['Psychic', 'Fairy']","['Synchronize', 'Trace', 'Telepathy']",518,68,65,65,125,115,80
#283,Surskit,Pond Skater Pokémon,"['1\'08""', '0.5m']","['3.7lbs', '1.7kg']","['Bug', 'Water']","['Swift Swim', 'Rain Dish']",269,40,30,32,50,52,65
