number,name,sprite,class,height,weight,type1,type2,ability1,ability2,ability3,bst,hp,attack,defense,sp_attack,sp_defense,speed
173,Cleffa,require('../sprites/173.png'),Star Shape Pokémon,0.3m,3.0kg,Fairy,,Cute Charm,Magic Guard,Friend Guard,218,50,25,28,45,55,15
174,Igglybuff,require('../sprites/174.png'),Balloon Pokémon,0.3m,1.0kg,Normal,Fairy,Cute Charm,Competitive,Friend Guard,210,90,30,15,40,20,15
175,Togepi,require('../sprites/175.png'),Spike Ball Pokémon,0.3m,1.5kg,Fairy,,Hustle,Serene Grace,Super Luck,245,35,20,65,40,65,20
176,Togetic,require('../sprites/176.png'),Happiness Pokémon,0.6m,3.2kg,Fairy,Flying,Hustle,Serene Grace,Super Luck,405,55,40,85,80,105,40
177,Natu,require('../sprites/177.png'),Little Bird Pokémon,0.2m,2.0kg,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,320,40,50,45,70,45,70
178,Xatu,require('../sprites/178.png'),Mystic Pokémon,1.5m,15.0kg,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,470,65,75,70,95,70,95
179,Mareep,require('../sprites/179.png'),Wool Pokémon,0.6m,7.8kg,Electric,,Static,Plus,,280,55,40,40,65,45,35
180,Flaaffy,require('../sprites/180.png'),Wool Pokémon,0.8m,13.3kg,Electric,,Static,Plus,,365,70,55,55,80,60,45
181,Ampharos,require('../sprites/181.png'),Light Pokémon,1.4m,61.5kg,Electric,,Static,Plus,,510,90,75,85,115,90,55
182,Bellossom,require('../sprites/182.png'),Flower Pokémon,0.4m,5.8kg,Grass,,Chlorophyll,Healer,,490,75,80,95,90,100,50
183,Marill,require('../sprites/183.png'),Aquamouse Pokémon,0.4m,8.5kg,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40
184,Azumarill,require('../sprites/184.png'),Aquarabbit Pokémon,0.8m,28.5kg,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50
185,Sudowoodo,require('../sprites/185.png'),Imitation Pokémon,1.2m,38.0kg,Rock,,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30
186,Politoed,require('../sprites/186.png'),Frog Pokémon,1.1m,33.9kg,Water,,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70
187,Hoppip,require('../sprites/187.png'),Cottonweed Pokémon,0.4m,0.5kg,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50
188,Skiploom,require('../sprites/188.png'),Cottonweed Pokémon,0.6m,1kg,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80
189,Jumpluff,require('../sprites/189.png'),Cottonweed Pokémon,0.8m,3kg,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110
190,Aipom,require('../sprites/190.png'),Long Tail Pokémon,0.8m,11.5kg,Normal,,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85
191,Sunkern,require('../sprites/191.png'),Seed Pokémon,0.3m,1.8kg,Grass,,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30
192,Sunflora,require('../sprites/192.png'),Sun Pokémon,0.8m,8.5kg,Grass,,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30
193,Yanma,require('../sprites/193.png'),Clear Wing Pokémon,1.2m,38kg,Bug,Flying,Speed Boost,Compoundeyes,Frisk,390,65,65,45,75,45,95
194,Wooper,require('../sprites/194.png'),Water Fish Pokémon,0.4m,8.5kg,Water,Ground,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15
195,Quagsire,require('../sprites/195.png'),Water Fish Pokémon,1.4m,75.0kg,Water,Ground,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35
196,Espeon,require('../sprites/196.png'),Sun Pokémon,0.9m,26.5kg,Psychic,,Synchronize,Magic Bounce,,525,65,65,60,130,95,110
197,Umbreon,require('../sprites/197.png'),Moonlight Pokémon,1.0m,27.0kg,Dark,,Synchronize,Inner Focus,,525,95,65,110,60,130,65
198,Murkrow,require('../sprites/198.png'),Darkness Pokémon,0.5m,2.1kg,Dark,Flying,Insomnia,Super Luck,Prankster,405,60,85,42,85,42,91
199,Slowking,require('../sprites/199.png'),Royal Pokémon (Johtonian)Hexpert Pokémon (Galarian),2.0m / 1.8m,79.5kg / 79.5kg,Water,Psychic,Oblivious,Own Tempo,Regenerator,490,95,75,80,100,110,30
200,Misdreavus,require('../sprites/200.png'),Screech Pokémon,0.7m,1kg,Ghost,,Levitate,,,435,60,60,60,85,85,85
201,Unown,require('../sprites/201.png'),Symbol Pokémon,0.5m,5kg,Psychic,,Levitate,,,336,48,72,48,72,48,48
202,Wobbuffet,require('../sprites/202.png'),Patient Pokémon,1.3m,28.5kg,Psychic,,Shadow Tag,Telepathy,,405,190,33,58,33,58,33
203,Girafarig,require('../sprites/203.png'),Long Neck Pokémon,1.5m,41.5kg,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85
204,Pineco,require('../sprites/204.png'),Bagworm Pokémon,0.6m,7.2kg,Bug,,Sturdy,Overcoat,,290,50,65,90,35,35,15
205,Forretress,require('../sprites/205.png'),Bagworm Pokémon,1.2m,125.8kg,Bug,Steel,Sturdy,Overcoat,,465,75,90,140,60,60,40
206,Dunsparce,require('../sprites/206.png'),Land Snake Pokémon,1.5m,14.0kg,Normal,,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45
207,Gligar,require('../sprites/207.png'),Flyscorpion Pokémon,1.1m,64.8kg,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85
208,Steelix,require('../sprites/208.png'),Iron Snake Pokémon,9.2m,400.0kg,Steel,Ground,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30
209,Snubbull,require('../sprites/209.png'),Fairy Pokémon,0.6m,7.8kg,Fairy,,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30
210,Granbull,require('../sprites/210.png'),Fairy Pokémon,1.4m,48.7kg,Fairy,,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45
211,Qwilfish,require('../sprites/211.png'),Balloon Pokémon,0.5m,3.9kg,Water,Poison,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85
212,Scizor,require('../sprites/212.png'),Pincer Pokémon,1.8m,118.0kg,Bug,Steel,Swarm,Technician,Light Metal,500,70,130,100,55,80,65
213,Shuckle,require('../sprites/213.png'),Mold Pokémon,0.6m,20.5kg,Bug,Rock,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5
214,Heracross,require('../sprites/214.png'),Singlehorn Pokémon,1.5m,54.0kg,Bug,Fighting,Swarm,Guts,Moxie,500,80,125,75,40,95,85
215,Sneasel,require('../sprites/215.png'),Sharp Claw Pokémon,0.9m,28.0kg,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115
216,Teddiursa,require('../sprites/216.png'),Little Bear Pokémon,0.6m,8.8kg,Normal,,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40
217,Ursaring,require('../sprites/217.png'),Hibernator Pokémon,1.8m,125.8kg,Normal,,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55
218,Slugma,require('../sprites/218.png'),Lava Pokémon,0.7m,35kg,Fire,,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20
219,Magcargo,require('../sprites/219.png'),Lava Pokémon,0.8m,55kg,Fire,Rock,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30
220,Swinub,require('../sprites/220.png'),Pig Pokémon,0.4m,6.5kg,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50
221,Piloswine,require('../sprites/221.png'),Swine Pokémon,1.1m,55.8kg,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50
222,Corsola,require('../sprites/222.png'),Coral Pokémon,0.6m / 0.6m,5.0kg / 0.5kg,Water,Rock,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35
223,Remoraid,require('../sprites/223.png'),Jet Pokémon,0.6m,12.0kg,Water,,Hustle,Sniper,Moody,300,35,65,35,65,35,65
224,Octillery,require('../sprites/224.png'),Jet Pokémon,0.9m,28.5kg,Water,,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45
225,Delibird,require('../sprites/225.png'),Delivery Pokémon,0.9m,16.0kg,Ice,Flying,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75
226,Mantine,require('../sprites/226.png'),Kite Pokémon,2.1m,220.0kg,Water,Flying,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70
227,Skarmory,require('../sprites/227.png'),Armor Bird Pokémon,1.7m,50.5kg,Steel,Flying,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70
228,Houndour,require('../sprites/228.png'),Dark Pokémon,0.6m,10.8kg,Dark,Fire,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65
229,Houndoom,require('../sprites/229.png'),Dark Pokémon,1.4m,35kg,Dark,Fire,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95
230,Kingdra,require('../sprites/230.png'),Dragon Pokémon,1.8m,152.0kg,Water,Dragon,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85
231,Phanpy,require('../sprites/231.png'),Long Nose Pokémon,0.5m,33.5kg,Ground,,Pickup,Sand Veil,,330,90,60,60,40,40,40
232,Donphan,require('../sprites/232.png'),Armor Pokémon,1.1m,120kg,Ground,,Sturdy,Sand Veil,,500,90,120,120,60,60,50
233,Porygon2,require('../sprites/233.png'),Virtual Pokémon,0.6m,32.5kg,Normal,,Trace,Download,Analytic,515,85,80,90,105,95,60
234,Stantler,require('../sprites/234.png'),Big Horn Pokémon,1.4m,71.2kg,Normal,,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85
235,Smeargle,require('../sprites/235.png'),Painter Pokémon,1.2m,58kg,Normal,,Own Tempo,Technician,Moody,250,55,20,35,20,45,75
236,Tyrogue,require('../sprites/236.png'),Scuffle Pokémon,0.7m,21.0kg,Fighting,,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35
237,Hitmontop,require('../sprites/237.png'),Handstand Pokémon,1.4m,48.0kg,Fighting,,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70
238,Smoochum,require('../sprites/238.png'),Kiss Pokémon,0.4m,6.0kg,Ice,Psychic,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65
239,Elekid,require('../sprites/239.png'),Electric Pokémon,0.6m,23.5kg,Electric,,Static,Vital Spirit,,360,45,63,37,65,55,95
240,Magby,require('../sprites/240.png'),Live Coal Pokémon,0.7m,21.4kg,Fire,,Flame Body,Vital Spirit,,365,45,75,37,70,55,83
241,Miltank,require('../sprites/241.png'),Milk Cow Pokémon,1.2m,75.5kg,Normal,,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100
242,Blissey,require('../sprites/242.png'),Happiness Pokémon,1.5m,46.8kg,Normal,,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55
243,Raikou,require('../sprites/243.png'),Thunder Pokémon,1.9m,178.0kg,Electric,,Pressure,Inner Focus,,580,90,85,75,115,100,115
244,Entei,require('../sprites/244.png'),Volcano Pokémon,2.1m,198.0kg,Fire,,Pressure,Inner Focus,,580,115,115,85,90,75,100
245,Suicune,require('../sprites/245.png'),Aurora Pokémon,2.0m,187.0kg,Water,,Pressure,Inner Focus,,580,100,75,115,90,115,85
246,Larvitar,require('../sprites/246.png'),Rock Skin Pokémon,0.6m,72.0kg,Rock,Ground,Guts,Sand Veil,,300,50,64,50,45,50,41
247,Pupitar,require('../sprites/247.png'),Hard Shell Pokémon,1.2m,152.0kg,Rock,Ground,Shed Skin,,,410,70,84,70,65,70,51
248,Tyranitar,require('../sprites/248.png'),Armor Pokémon,2.0m,202.0kg,Rock,Dark,Sand Stream,Unnerve,,600,100,134,110,95,100,61
249,Lugia,require('../sprites/249.png'),Diving Pokémon,5.2m,216.0kg,Psychic,Flying,Pressure,Multiscale,,680,106,90,130,90,154,110
250,Ho-Oh,require('../sprites/250.png'),Rainbow Pokémon,3.8m,199.0kg,Fire,Flying,Pressure,Regenerator,,680,106,130,90,110,154,90
251,Celebi,require('../sprites/251.png'),Time Travel Pokémon,0.6m,5.0kg,Psychic,Grass,Natural Cure,,,600,100,100,100,100,100,100
252,Treecko,require('../sprites/252.png'),Wood Gecko Pokémon,0.5m,5.0kg,Grass,,Overgrow,Unburden,,310,40,45,35,65,55,70
253,Grovyle,require('../sprites/253.png'),Wood Gecko Pokémon,0.9m,21.6kg,Grass,,Overgrow,Unburden,,405,50,65,45,85,65,95
254,Sceptile,require('../sprites/254.png'),Forest Pokémon,1.7m,52.2kg,Grass,,Overgrow,Unburden,,530,70,85,65,105,85,120
255,Torchic,require('../sprites/255.png'),Chick Pokémon,0.4m,2.5kg,Fire,,Blaze,Speed Boost,,310,45,60,40,70,50,45
256,Combusken,require('../sprites/256.png'),Young Fowl Pokémon,0.9m,19.5kg,Fire,Fighting,Blaze,Speed Boost,,405,60,85,60,85,60,55
257,Blaziken,require('../sprites/257.png'),Blaze Pokémon,1.9m,52.0kg,Fire,Fighting,Blaze,Speed Boost,,530,80,120,70,110,70,80
258,Mudkip,require('../sprites/258.png'),Mud Fish Pokémon,0.4m,7.6kg,Water,,Torrent,Damp,,310,50,70,50,50,50,40
259,Marshtomp,require('../sprites/259.png'),Mud Fish Pokémon,0.7m,28.0kg,Water,Ground,Torrent,Damp,,405,70,85,70,60,70,50
260,Swampert,require('../sprites/260.png'),Mud Fish Pokémon,1.5m,81.9kg,Water,Ground,Torrent,Damp,,535,100,110,90,85,90,60
261,Poochyena,require('../sprites/261.png'),Bite Pokémon,0.5m,13.6kg,Dark,,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35
262,Mightyena,require('../sprites/262.png'),Bite Pokémon,1m,37kg,Dark,,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70
263,Zigzagoon,require('../sprites/263.png'),Tiny Racoon Pokémon,0.4m / 0.4m,17.5kg / 17.5kg,Normal,,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60
264,Linoone,require('../sprites/264.png'),Rushing Pokémon,0.5m / 0.5m,32.5kg / 32.5kg,Normal,,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100
265,Wurmple,require('../sprites/265.png'),Worm Pokémon,0.3m,3.6kg,Bug,,Shield Dust,Run Away,,195,45,45,35,20,30,20
266,Silcoon,require('../sprites/266.png'),Cocoon Pokémon,0.6m,10kg,Bug,,Shed Skin,,,205,50,35,55,25,25,15
267,Beautifly,require('../sprites/267.png'),Butterfly Pokémon,1m,28.4kg,Bug,Flying,Swarm,Rivalry,,395,60,70,50,100,50,65
268,Cascoon,require('../sprites/268.png'),Cocoon Pokémon,0.7m,11.5kg,Bug,,Shed Skin,,,205,50,35,55,25,25,15
269,Dustox,require('../sprites/269.png'),Poison Moth Pokémon,1.2m,31.6kg,Bug,Poison,Shield Dust,Compoundeyes,,385,60,50,70,50,90,65
270,Lotad,require('../sprites/270.png'),Water Weed Pokémon,0.5m,2.6kg,Water,Grass,Swift Swim,Rain Dish,Own Tempo,220,40,30,30,40,50,30
271,Lombre,require('../sprites/271.png'),Jolly Pokémon,1.2m,32.5kg,Water,Grass,Swift Swim,Rain Dish,Own Tempo,340,60,50,50,60,70,50
272,Ludicolo,require('../sprites/272.png'),Carefree Pokémon,1.5m,55.0kg,Water,Grass,Swift Swim,Rain Dish,Own Tempo,480,80,70,70,90,100,70
273,Seedot,require('../sprites/273.png'),Acorn Pokémon,0.5m,4.0kg,Grass,,Chlorophyll,Early Bird,Pickpocket,220,40,40,50,30,30,30
274,Nuzleaf,require('../sprites/274.png'),Wily Pokémon,1.0m,28.0kg,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,340,70,70,40,60,40,60
275,Shiftry,require('../sprites/275.png'),Wickid Pokémon,1.3m,59.6kg,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,480,90,100,60,90,60,80
276,Taillow,require('../sprites/276.png'),TinySwallow Pokémon,0.3m,2.3kg,Normal,Flying,Guts,Scrappy,,270,40,55,30,30,30,85
277,Swellow,require('../sprites/277.png'),Swallow Pokémon,0.7m,19.8kg,Normal,Flying,Guts,Scrappy,,455,60,85,60,75,50,125
278,Wingull,require('../sprites/278.png'),Seagull Pokémon,0.6m,9.5kg,Water,Flying,Keen Eye,Hydration,Rain Dish,270,40,30,30,55,30,85
279,Pelipper,require('../sprites/279.png'),Water Bird Pokémon,1.2m,28.0kg,Water,Flying,Keen Eye,Drizzle,Rain Dish,440,60,50,100,95,70,65
280,Ralts,require('../sprites/280.png'),Feeling Pokémon,0.4m,6.6kg,Psychic,Fairy,Synchronize,Trace,Telepathy,198,28,25,25,45,35,40
281,Kirlia,require('../sprites/281.png'),Emotion Pokémon,0.8m,20.2kg,Psychic,Fairy,Synchronize,Trace,Telepathy,278,38,35,35,65,55,50
282,Gardevoir,require('../sprites/282.png'),Embrace Pokémon,1.6m,48.4kg,Psychic,Fairy,Synchronize,Trace,Telepathy,518,68,65,65,125,115,80
283,Surskit,require('../sprites/283.png'),Pond Skater Pokémon,0.5m,1.7kg,Bug,Water,Swift Swim,Rain Dish,,269,40,30,32,50,52,65
284,Masquerain,require('../sprites/284.png'),Eyeball Pokémon,0.8m,3.6kg,Bug,Flying,Intimidate,Unnerve,,454,70,60,62,100,82,80
285,Shroomish,require('../sprites/285.png'),Mushroom Pokémon,0.4m,4.5kg,Grass,,Effect Spore,Poison Heal,Quick Feet,295,60,40,60,40,60,35
286,Breloom,require('../sprites/286.png'),Mushroom Pokémon,1.2m,39.2kg,Grass,Fighting,Effect Spore,Poison Heal,Technician,460,60,130,80,60,60,70
287,Slakoth,require('../sprites/287.png'),Slacker Pokémon,0.8m,24kg,Normal,,Truant,,,280,60,60,60,35,35,30
288,Vigoroth,require('../sprites/288.png'),Wild Monkey Pokémon,1.4m,46.5kg,Normal,,Vital Spirit,,,440,80,80,80,55,55,90
289,Slaking,require('../sprites/289.png'),Lazy Pokémon,2m,130.5kg,Normal,,Truant,,,670,150,160,100,95,65,100
290,Nincada,require('../sprites/290.png'),Trainee Pokémon,0.5m,5.5kg,Bug,Ground,Compoundeyes,Run Away,,266,31,45,90,30,30,40
291,Ninjask,require('../sprites/291.png'),Ninja Pokémon,0.8m,12.0kg,Bug,Flying,Speed Boost,Infiltrator,,456,61,90,45,50,50,160
292,Shedinja,require('../sprites/292.png'),Shed Pokémon,0.8m,1.2kg,Bug,Ghost,Wonder Guard,,,236,1,90,45,30,30,40
293,Whismur,require('../sprites/293.png'),Whisper Pokémon,0.6m,16.3kg,Normal,,Soundproof,Rattled,,240,64,51,23,51,23,28
294,Loudred,require('../sprites/294.png'),Big Voice Pokémon,1.0m,40.5kg,Normal,,Soundproof,Scrappy,,360,84,71,43,71,43,48
295,Exploud,require('../sprites/295.png'),Loud Noise Pokémon,1.5m,84.0kg,Normal,,Soundproof,Scrappy,,490,104,91,63,91,73,68
296,Makuhita,require('../sprites/296.png'),Guts Pokémon,1m,86.4kg,Fighting,,Thick Fat,Guts,Sheer Force,237,72,60,30,20,30,25
297,Hariyama,require('../sprites/297.png'),Arm Thrust Pokémon,2.3m,253.8kg,Fighting,,Thick Fat,Guts,Sheer Force,474,144,120,60,40,60,50
298,Azurill,require('../sprites/298.png'),Polka Dot Pokémon,0.2m,2.0kg,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,190,50,20,40,20,40,20
299,Nosepass,require('../sprites/299.png'),Compass Pokémon,1m,97kg,Rock,,Sturdy,Magnet Pull,Sand Force,375,30,45,135,45,90,30
300,Skitty,require('../sprites/300.png'),Kitten Pokémon,0.6m,11kg,Normal,,Cute Charm,Normalize,Wonder Skin,260,50,45,45,35,35,50
301,Delcatty,require('../sprites/301.png'),Prim Pokémon,1.1m,32.6kg,Normal,,Cute Charm,Normalize,Wonder Skin,400,70,65,65,55,55,90
302,Sableye,require('../sprites/302.png'),Darkness Pokémon,0.5m,11.0kg,Dark,Ghost,Keen Eye,Stall,Prankster,380,50,75,75,65,65,50
303,Mawile,require('../sprites/303.png'),Deceiver Pokémon,0.6m,11.5kg,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,380,50,85,85,55,55,50
304,Aron,require('../sprites/304.png'),Iron Armor Pokémon,0.4m,60.0kg,Steel,Rock,Sturdy,Rock Head,Heavy Metal,330,50,70,100,40,40,30
305,Lairon,require('../sprites/305.png'),Iron Armor Pokémon,0.9m,120.0kg,Steel,Rock,Sturdy,Rock Head,Heavy Metal,430,60,90,140,50,50,40
306,Aggron,require('../sprites/306.png'),Iron Armor Pokémon,2.1m,360.0kg,Steel,Rock,Sturdy,Rock Head,Heavy Metal,530,70,110,180,60,60,50
307,Meditite,require('../sprites/307.png'),Meditate Pokémon,0.6m,11.2kg,Fighting,Psychic,Pure Power,Telepathy,,280,30,40,55,40,55,60
308,Medicham,require('../sprites/308.png'),Meditate Pokémon,1.3m,31.5kg,Fighting,Psychic,Pure Power,Telepathy,,410,60,60,75,60,75,80
309,Electrike,require('../sprites/309.png'),Lightning Pokémon,0.6m,15.2kg,Electric,,Static,Lightning Rod,Minus,295,40,45,40,65,40,65
310,Manectric,require('../sprites/310.png'),Discharge Pokémon,1.5m,40.2kg,Electric,,Static,Lightning Rod,Minus,475,70,75,60,105,60,105
311,Plusle,require('../sprites/311.png'),Cheering Pokémon,0.4m,4.2kg,Electric,,Plus,Lightning Rod,,405,60,50,40,85,75,95
312,Minun,require('../sprites/312.png'),Cheering Pokémon,0.4m,4.2kg,Electric,,Minus,Volt Absorb,,405,60,40,50,75,85,95
313,Volbeat,require('../sprites/313.png'),Firefly Pokémon,0.7m,17.7kg,Bug,,Illuminate,Swarm,Prankster,430,65,73,75,47,85,85
314,Illumise,require('../sprites/314.png'),Firefly Pokémon,0.6m,17.7kg,Bug,,Oblivious,Tinted Lens,Prankster,430,65,47,75,73,85,85
315,Roselia,require('../sprites/315.png'),Thorn Pokémon,0.3m,2.0kg,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,400,50,60,45,100,80,65
316,Gulpin,require('../sprites/316.png'),Stomach Pokémon,0.4m,10.3kg,Poison,,Liquid Ooze,Sticky Hold,Gluttony,302,70,43,53,43,53,40
317,Swalot,require('../sprites/317.png'),Poison Bag Pokémon,1.7m,80kg,Poison,,Liquid Ooze,Sticky Hold,Gluttony,467,100,73,83,73,83,55
318,Carvanha,require('../sprites/318.png'),Savage Pokémon,0.8m,20.8kg,Water,Dark,Rough Skin,Speed Boost,,305,45,90,20,65,20,65
319,Sharpedo,require('../sprites/319.png'),Brutal Pokémon,1.8m,88.8kg,Water,Dark,Rough Skin,Speed Boost,,460,70,120,40,95,40,95
320,Wailmer,require('../sprites/320.png'),Ball Whale Pokémon,2.0m,130.0kg,Water,,Water Veil,Oblivious,Pressure,400,130,70,35,70,35,60
321,Wailord,require('../sprites/321.png'),Float Whale Pokémon,14.5m,398.0kg,Water,,Water Veil,Oblivious,Pressure,500,170,90,45,90,45,60
322,Numel,require('../sprites/322.png'),Numb Pokémon,0.7m,24kg,Fire,Ground,Oblivious,Simple,Own Tempo,305,60,60,40,65,45,35
323,Camerupt,require('../sprites/323.png'),Eruption Pokémon,1.9m,220kg,Fire,Ground,Magma Armor,Solid Rock,Anger Point,460,70,100,70,105,75,40
324,Torkoal,require('../sprites/324.png'),Coal Pokémon,0.5m,80.4kg,Fire,,White Smoke,Drought,Shell Armor,470,70,85,140,85,70,20
325,Spoink,require('../sprites/325.png'),Bounce Pokémon,0.7m,30.6kg,Psychic,,Thick Fat,Own Tempo,Gluttony,330,60,25,35,70,80,60
326,Grumpig,require('../sprites/326.png'),Manipulate Pokémon,0.9m,71.5kg,Psychic,,Thick Fat,Own Tempo,Gluttony,470,80,45,65,90,110,80
327,Spinda,require('../sprites/327.png'),Spot Panda Pokémon,1.1m,5kg,Normal,,Own Tempo,Tangled Feet,Contrary,360,60,60,60,60,60,60
328,Trapinch,require('../sprites/328.png'),Ant Pit Pokémon,0.7m,15.0kg,Ground,,Hyper Cutter,Arena Trap,Sheer Force,290,45,100,45,45,45,10
329,Vibrava,require('../sprites/329.png'),Vibration Pokémon,1.1m,15.3kg,Ground,Dragon,Levitate,,,340,50,70,50,50,50,70
330,Flygon,require('../sprites/330.png'),Mystic Pokémon,2.0m,82.0kg,Ground,Dragon,Levitate,,,520,80,100,80,80,80,100
331,Cacnea,require('../sprites/331.png'),Cactus Pokémon,0.4m,51.3kg,Grass,,Sand Veil,Water Absorb,,335,50,85,40,85,40,35
332,Cacturne,require('../sprites/332.png'),Scarecrow Pokémon,1.3m,77.4kg,Grass,Dark,Sand Veil,Water Absorb,,475,70,115,60,115,60,55
333,Swablu,require('../sprites/333.png'),Cotton Bird Pokémon,0.4m,1.2kg,Normal,Flying,Natural Cure,Cloud Nine,,310,45,40,60,40,75,50
334,Altaria,require('../sprites/334.png'),Humming Pokémon,1.1m,20.6kg,Dragon,Flying,Natural Cure,Cloud Nine,,490,75,70,90,70,105,80
335,Zangoose,require('../sprites/335.png'),Cat Ferret Pokémon,1.3m,40.3kg,Normal,,Immunity,Toxic Boost,,458,73,115,60,60,60,90
336,Seviper,require('../sprites/336.png'),Fang Snake Pokémon,2.7m,52.5kg,Poison,,Shed Skin,Infiltrator,,458,73,100,60,100,60,65
337,Lunatone,require('../sprites/337.png'),Meteorite Pokémon,1.0m,168.0kg,Rock,Psychic,Levitate,,,460,90,55,65,95,85,70
338,Solrock,require('../sprites/338.png'),Meteorite Pokémon,1.2m,154.0kg,Rock,Psychic,Levitate,,,460,90,95,85,55,65,70
339,Barboach,require('../sprites/339.png'),Whiskers Pokémon,0.4m,1.9kg,Water,Ground,Oblivious,Anticipation,Hydration,288,50,48,43,46,41,60
340,Whiscash,require('../sprites/340.png'),Whiskers Pokémon,0.9m,23.6kg,Water,Ground,Oblivious,Anticipation,Hydration,468,110,78,73,76,71,60
341,Corphish,require('../sprites/341.png'),Ruffian Pokémon,0.6m,11.5kg,Water,,Hyper Cutter,Shell Armor,Adaptability,308,43,80,65,50,35,35
342,Crawdaunt,require('../sprites/342.png'),Rogue Pokémon,1.1m,32.8kg,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,468,63,120,85,90,55,55
343,Baltoy,require('../sprites/343.png'),Clay Doll Pokémon,0.5m,21.5kg,Ground,Psychic,Levitate,,,300,40,40,55,40,70,55
344,Claydol,require('../sprites/344.png'),Clay Doll Pokémon,1.5m,108.0kg,Ground,Psychic,Levitate,,,500,60,70,105,70,120,75
345,Lileep,require('../sprites/345.png'),Sea Lily Pokémon,1.0m,23.8kg,Rock,Grass,Suction Cups,Storm Drain,,355,66,41,77,61,87,23
346,Cradily,require('../sprites/346.png'),Barnacle Pokémon,1.5m,60.4kg,Rock,Grass,Suction Cups,Storm Drain,,495,86,81,97,81,107,43
347,Anorith,require('../sprites/347.png'),Old Shrimp Pokémon,0.7m,12.5kg,Rock,Bug,Battle Armor,Swift Swim,,355,45,95,50,40,50,75
348,Armaldo,require('../sprites/348.png'),Plate Pokémon,1.5m,68.2kg,Rock,Bug,Battle Armor,Swift Swim,,495,75,125,100,70,80,45
349,Feebas,require('../sprites/349.png'),Fish Pokémon,0.6m,7.4kg,Water,,Swift Swim,Oblivious,Adaptability,200,20,15,20,10,55,80
350,Milotic,require('../sprites/350.png'),Tender Pokémon,6.2m,162.0kg,Water,,Marvel Scale,Competitive,Cute Charm,540,95,60,79,100,125,81
351,Castform,require('../sprites/351.png'),Weather Pokémon,0.3m,0.8kg,Normal,,Forecast,,,420,70,70,70,70,70,70
